minami_kaz(judge),minami_kaz(comment),teraim(judge),teraim(comment),proj,ver,nid,path,lnum
M2,According to the comment: Compute the Cholesky factorization A = U'*U. Loop-blocking should be applicable.,M1,,NEKCEM_git,1e1977e,8197,libs/netlib/lapack.f,262097
NonKernel,Comments suggest that it is a data collection routine.,NonKernel,Seems this is a data setup routine.,carma-miriad_git,34b15af,53794,src/prog/misc/listobs.for,181
M5,"Seems this is a solver routine in a time step loop, hence a kernel. It contains array element assignments.",NonKernel,Initialization.,CM1_git,fc4db52,4799,src/bc.F,2054
M5,"Seems this is in some calculation routine, hence a kernel.",M5,Reduction.,VAPO_git,d93599f,94838,Precombustion/Mdot/OFShift/ver01/Mdot0_03/CALC/PreCEA/MainCEA/cea/cea2.f,1332
Ignored,,NonKernel,,oorb_git,0ec2651,4042,classes/StochasticOrbit_class.f90,9296
M2,"Seems this is a part of FFT. In principle, loop-blocking is applicable to some extent.",Other,,elk_git,610ccd4,11388,src/fftlib/cfftnd.f90,1123
M6,Seems this does not have a ordinary iteration structure.,Other,"Looks like a kernel, though invfft is unknown.",q-e_git,1f12d22,34168,GWW/pw4gww/semicore.f90,47
M5,A test routine of LAPACK.,M5,,blas-lapack-ffi_git,781517b,2232,unused/lapack_cwrapper/testing/main/LIN/claptm.f,173
NonKernel,Not a time step loop.,NonKernel,Loop body too small.,dissertaion_phd_tamu_git,5c1d609,553,chap_5_active_trusses/codes_linear_tetra_hedral_truss/Elec_Mech_FEM/src/femgeometry.f90,422
NonKernel,Seems this is not a computing part. Just a branching loop.,NonKernel,"Blocks that correspond to the following:- TEST(17) WRITE OUT READ-IN COEFFICIENTS  (I/O UNITS 12 & 16)- TEST(18) ENTHALPY IS ABSOLUTE",VAPO_git,d93599f,21011,Precombustion/Mdot/OFShift/ver01/Mdot0_07/CALC/MainCEA/pac/pac99.f,4957
M5,"According to the comment: Determine the diffuse transmission and reflection coefficients.It is placed deep in nested loops.",NonKernel,Not so complex.,UM-ppsrc-vamkK_git,cd40696,19601,atmosphere/boundary_layer/dust_srce.f90,174
M5,According to the comment: Determine the diffuse transmission and reflection coefficients.,M3,"Looks like M5, and somewhat like nsw6 of NICAM. It has many operations.",UM-ppsrc-vamkK_git,cd40696,11162,atmosphere/radiance_core/trans_source_coeff.f90,147
